Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
45,Male,71.7,1.85,185,130,79,0.96,631,Strength,19.7,3.7,4,1,20.86
50,Male,92.5,1.95,175,112,65,1.31,692,Strength,20.8,4.11,4,1,24.24
22,Male,58.1,1.76,193,123,80,1.43,603,Yoga,16.0,3.06,5,1,18.66
36,Male,89.5,1.74,184,137,76,1.01,946,Cardio,21.3,4.35,4,1,29.48
21,Female,65.6,1.62,190,99,66,1.22,368,Yoga,24.5,3.2,5,1,25.02
52,Male,84.5,1.81,185,132,70,1.22,939,Cardio,17.4,4.4,3,1,25.72
34,Male,84.2,1.8,186,152,80,1.27,1182,Cardio,11.9,3.92,2,1,26.13
45,Male,69.2,1.83,172,92,62,0.74,326,Yoga,15.6,2.9,2,1,20.66
47,Male,92.7,1.7,170,136,75,0.8,745,Strength,14.4,3.57,5,2,32.09
46,Female,57.3,1.67,171,136,76,0.36,389,HIIT,29.1,3.41,3,1,20.62
23,Female,70.7,1.65,191,140,74,1.19,1047,Cardio,30.5,3.51,3,1,25.84
52,Male,95.3,1.67,172,116,72,0.67,596,Strength,16.5,4.2,2,1,34.37
58,Male,97.3,1.75,173,144,83,1.9,1402,Cardio,18.7,5.0,2,1,31.89
54,Male,74.3,1.68,179,133,84,1.38,841,Strength,27.9,3.78,3,1,26.43
41,Female,71.5,1.59,192,114,63,0.89,694,HIIT,25.7,3.37,2,2,28.45
46,Female,60.0,1.66,175,151,71,1.7,1632,HIIT,22.3,3.56,4,2,21.71
48,Female,100.1,1.62,168,130,82,1.55,1056,Cardio,19.1,4.57,4,1,38.28
52,Male,88.9,1.7,185,104,66,1.58,800,Strength,15.2,4.83,2,1,30.71
50,Female,66.2,1.59,166,94,64,1.17,323,Yoga,18.0,3.03,3,3,26.15
38,Male,82.4,1.71,172,152,77,1.4,1276,Cardio,29.4,4.08,3,1,28.23
49,Male,83.7,1.65,186,104,59,1.58,915,Cardio,15.3,4.19,4,1,30.77
40,Male,84.1,1.79,186,134,68,2.0,1826,HIIT,14.8,3.66,4,3,26.29
50,Male,74.6,1.73,178,112,56,0.92,705,HIIT,16.4,3.19,3,3,24.91
20,Female,59.5,1.73,190,129,72,1.07,879,HIIT,33.0,3.06,4,1,19.89
35,Female,62.9,1.63,181,126,74,1.0,634,HIIT,25.0,3.66,3,2,23.53
42,Male,62.0,1.64,175,95,57,1.8,665,Yoga,16.9,4.2,2,1,22.96
59,Female,75.1,1.6,169,123,76,1.32,755,Strength,24.6,3.04,3,1,29.35
48,Female,53.8,1.74,176,125,79,1.61,878,Cardio,26.8,3.8,3,2,17.67
20,Female,50.2,1.58,182,130,68,1.32,1066,Cardio,24.1,3.5,2,1,20.01
57,Female,64.8,1.65,167,117,74,1.28,397,Yoga,22.0,3.8,2,1,23.82
41,Female,63.2,1.68,167,139,71,1.15,1085,HIIT,19.9,3.51,6,3,22.33
49,Female,68.5,1.67,176,127,53,1.29,1377,HIIT,15.9,4.02,6,3,24.52
39,Female,57.0,1.8,181,138,76,1.18,1019,HIIT,36.8,3.82,3,1,17.58
40,Male,72.5,1.77,191,141,73,1.07,1127,HIIT,20.0,2.94,2,2,23.16
19,Male,87.7,1.71,193,133,71,1.01,936,HIIT,25.1,3.84,4,2,29.87
44,Female,73.8,1.55,175,107,64,1.38,795,Cardio,24.9,3.7,5,3,30.78
59,Male,86.3,1.74,169,132,65,0.94,1038,HIIT,27.1,3.56,2,1,28.6
19,Female,65.5,1.71,193,128,79,1.17,735,Strength,29.3,3.33,3,1,22.47
43,Male,80.4,1.8,180,126,71,0.99,914,Cardio,,3.78,4,1,24.84
34,Male,81.2,1.66,186,134,66,0.91,944,HIIT,8.8,3.15,3,1,29.53
57,Male,68.8,1.91,174,145,69,0.83,933,HIIT,14.9,3.64,2,1,18.84
50,Male,98.6,1.88,173,122,69,1.3,939,Cardio,17.2,4.11,4,2,28.01
26,Female,83.6,1.51,184,105,58,1.61,988,Cardio,25.3,4.49,4,2,36.81
56,Female,76.1,1.52,168,104,71,1.38,579,Yoga,27.1,3.6,3,1,32.81
46,Female,59.0,1.58,171,98,64,0.77,334,Yoga,27.3,2.87,5,2,23.55
59,Female,72.5,1.62,164,152,79,1.45,1390,HIIT,30.0,3.44,3,1,27.71
43,Male,91.7,1.77,190,108,52,1.68,1190,Cardio,18.8,4.1,5,3,29.14
52,Female,47.9,1.69,175,115,69,1.76,960,Cardio,,3.19,5,3,16.84
42,Female,88.7,1.57,178,133,72,1.83,1344,Cardio,28.5,4.55,3,3,35.94
41,Female,40.6,1.66,177,112,52,1.2,827,Cardio,28.6,3.45,5,3,14.78
30,Male,87.9,1.72,188,117,61,1.05,774,Cardio,20.4,4.04,2,1,29.71
24,Female,85.3,1.76,195,155,82,1.78,1731,HIIT,37.9,4.24,4,1,27.52
53,Male,76.4,1.65,178,119,62,1.91,1244,Strength,23.8,4.37,4,2,27.97
37,Female,62.9,1.7,187,127,82,1.42,737,Strength,18.5,3.6,4,3,21.84
18,Female,74.3,1.73,187,108,60,1.36,1016,Cardio,29.5,3.81,2,1,24.92
25,Male,103.9,1.73,187,127,72,1.39,1013,Cardio,10.3,4.29,2,1,34.56
33,Female,61.1,1.59,180,132,63,2.07,1878,HIIT,14.1,4.3,5,3,24.03
31,Female,54.1,1.79,185,104,70,1.27,456,Yoga,25.0,2.32,2,1,16.96
29,Male,72.1,1.81,193,131,74,0.73,713,HIIT,15.1,2.53,3,1,22.0
40,Female,43.3,1.5,183,119,70,1.13,572,Strength,22.5,3.45,2,2,19.23
32,Female,77.6,1.62,194,102,70,2.25,822,Strength,29.1,4.32,4,1,29.5
45,Male,70.8,1.64,176,110,65,0.71,490,Strength,25.6,3.71,3,1,26.17
51,Male,75.1,1.7,170,128,73,1.32,813,Strength,22.9,3.55,4,2,25.87
19,Male,90.7,1.67,194,143,71,2.11,1924,HIIT,19.1,5.0,5,2,32.38
49,Male,72.7,1.73,176,89,64,1.17,566,Cardio,9.1,3.6,5,3,24.42
40,Male,88.6,1.85,182,108,75,0.25,334,Yoga,16.7,3.6,2,1,25.77
39,Female,50.5,1.59,182,136,76,0.26,264,Cardio,30.7,2.49,3,1,19.87
42,Male,91.4,1.72,176,88,62,1.02,431,Yoga,12.9,3.58,2,2,30.91
39,Male,82.8,1.75,182,132,70,0.68,768,HIIT,10.7,2.87,5,2,27.07
39,Female,63.8,1.63,186,113,68,1.51,724,Yoga,30.0,4.0,2,1,23.89
59,Female,66.8,1.64,177,116,72,1.39,725,Strength,24.8,3.83,2,2,24.95
23,Male,60.0,1.79,186,148,70,0.4,485,HIIT,18.4,2.98,2,1,18.65
32,Male,79.5,1.82,185,104,75,0.59,409,Yoga,25.0,2.99,3,1,23.98
54,Male,76.0,1.83,182,134,68,1.58,1285,Cardio,24.9,4.53,4,1,22.69
50,Female,47.4,1.54,172,130,75,1.22,811,Cardio,36.4,3.22,3,1,20.06
25,Male,68.6,1.8,184,93,65,1.65,516,Yoga,16.2,4.14,2,1,21.28
22,Female,63.2,1.64,194,113,67,1.69,781,Yoga,27.1,3.78,2,2,23.59
56,Female,56.5,1.59,176,111,73,0.9,448,Strength,25.1,2.73,5,2,22.28
21,Male,44.2,1.92,184,108,66,1.76,837,Strength,16.2,3.84,5,3,12.03
23,Female,80.1,1.63,180,141,72,1.35,1294,HIIT,21.8,4.09,2,1,30.31
49,Female,63.0,1.64,177,138,82,0.46,463,Cardio,20.5,2.96,2,1,23.38
47,Male,46.2,1.74,174,127,77,0.67,361,Strength,19.3,3.0,3,1,15.24
52,Female,94.9,1.5,164,128,76,2.0,1388,Cardio,23.3,4.92,3,1,42.17
57,Female,82.4,1.5,167,126,71,0.98,805,HIIT,29.7,4.0,3,2,36.61
33,Female,60.1,1.67,187,122,72,1.44,930,Cardio,17.5,2.88,2,2,21.52
30,Female,53.2,1.65,184,123,77,1.23,447,Yoga,17.9,2.71,2,2,19.57
59,Female,70.6,1.66,180,112,68,1.21,734,Cardio,25.4,3.93,2,1,25.61
47,Female,67.8,1.64,164,125,77,1.11,560,Yoga,19.8,3.24,2,1,25.24
36,Female,72.6,1.65,190,137,69,1.64,1465,HIIT,33.4,3.52,5,2,26.82
34,Female,53.2,1.7,181,112,69,1.48,701,Strength,26.6,3.6,2,1,18.47
36,Female,80.4,1.66,179,98,66,1.34,604,Strength,22.0,3.48,2,2,29.13
45,Female,58.4,1.7,168,97,64,1.13,516,Strength,24.8,3.15,3,3,20.13
43,Male,87.5,1.93,181,111,66,0.95,611,Strength,23.9,4.16,2,1,23.49
54,Male,66.8,1.71,162,133,72,0.75,790,HIIT,18.0,2.68,2,2,22.87
43,Male,115.1,1.81,183,122,66,1.18,1048,Cardio,16.7,3.96,3,2,34.99
40,Male,87.7,1.62,171,121,72,0.53,403,Yoga,14.6,2.93,2,1,33.43
26,Male,118.4,1.71,179,134,75,1.38,1067,Cardio,20.2,4.35,5,2,40.47
29,Female,76.6,1.64,178,126,72,1.25,868,Cardio,34.6,3.81,3,1,28.39
18,Male,70.1,1.86,187,138,80,1.5,827,Strength,18.4,3.56,5,1,20.24
18,Female,76.6,1.62,197,113,64,0.87,565,Strength,20.8,4.16,3,2,29.1
51,Male,90.6,1.81,184,117,56,1.05,889,Strength,15.4,4.12,2,3,27.57
49,Female,70.2,1.67,172,99,69,1.68,582,Yoga,27.5,3.91,4,1,25.04
42,Female,73.8,1.69,179,100,54,0.67,512,Cardio,21.4,3.89,3,1,25.9
57,Male,88.7,1.76,174,107,68,2.17,1062,Cardio,12.0,4.04,5,3,28.48
18,Female,51.1,1.66,189,121,57,1.13,994,HIIT,31.4,3.55,3,3,18.52
33,Male,63.1,1.66,186,118,63,0.98,926,HIIT,10.3,3.26,3,2,22.89
56,Female,53.9,1.56,172,120,75,1.44,901,Cardio,24.0,3.26,3,1,22.17
22,Male,79.8,1.67,187,107,64,1.64,693,Yoga,9.8,4.32,4,3,28.57
39,Female,61.9,1.65,172,102,68,1.72,594,Strength,23.2,3.6,2,1,22.8
46,Male,64.3,1.86,178,121,55,0.64,795,HIIT,14.8,3.24,6,2,18.51
20,Female,75.9,1.61,196,143,79,1.34,1164,HIIT,29.7,3.78,3,1,29.18
29,Female,69.0,1.61,181,137,71,1.28,1207,HIIT,31.5,3.77,4,2,26.68
43,Male,80.4,1.84,167,159,83,0.77,802,HIIT,20.5,3.37,4,1,23.77
33,Male,74.4,1.72,182,115,67,1.81,1074,Cardio,16.1,4.44,3,1,25.12
54,Male,72.7,1.71,182,138,62,1.23,1198,HIIT,27.2,2.87,2,1,24.87
39,Male,66.2,1.68,188,111,77,1.13,443,Strength,9.2,3.76,4,1,23.51
46,Female,78.1,1.61,174,126,66,1.46,1055,Cardio,28.4,3.18,4,2,30.3
31,Male,68.2,1.78,187,127,67,0.85,659,Strength,9.4,3.07,4,3,21.55
45,Male,80.9,1.75,181,106,73,1.01,592,HIIT,14.2,3.93,5,3,26.47
22,Male,101.3,1.7,198,138,73,1.03,1211,HIIT,22.3,3.34,2,1,35.04
47,Female,60.3,1.68,167,122,68,1.41,1015,Cardio,17.0,3.62,4,2,21.35
22,Male,91.4,1.76,183,104,68,1.75,747,Yoga,17.7,3.83,4,2,29.57
29,Male,86.0,1.71,173,140,61,0.84,1033,HIIT,20.6,3.34,4,1,29.31
33,Male,82.4,1.73,179,127,78,0.76,612,Cardio,26.8,3.2,2,1,27.38
43,Male,84.0,1.77,185,113,74,1.48,802,Strength,30.6,3.53,4,2,26.69
43,Female,63.7,1.73,175,102,66,1.4,375,Yoga,14.7,2.92,6,3,21.38
38,Male,78.5,1.63,173,115,58,0.63,483,Strength,24.1,4.28,3,2,29.64
56,Male,70.3,1.93,173,129,70,0.83,606,Cardio,19.3,3.33,3,1,18.81
53,Female,65.6,1.62,175,111,76,1.24,360,Yoga,21.0,3.06,6,2,24.92
50,Female,56.8,1.58,169,131,68,1.1,919,HIIT,29.3,3.07,3,1,22.87
47,Male,92.1,1.63,173,93,74,1.33,341,Yoga,10.5,4.15,2,2,34.49
54,Female,41.2,1.63,174,137,67,0.84,873,HIIT,18.8,2.68,3,2,15.48
40,Female,71.7,1.67,184,129,75,1.1,721,Strength,18.8,3.09,3,1,25.78
27,Male,82.7,1.84,183,110,61,1.78,998,Cardio,17.2,3.86,5,3,24.36
22,Female,68.4,1.6,184,103,72,0.25,245,Yoga,29.1,3.49,3,1,26.78
53,Female,79.3,1.71,185,106,66,1.35,625,Strength,18.4,3.34,6,3,27.25
51,Male,74.0,1.81,173,137,65,0.57,676,HIIT,27.1,2.52,2,1,22.54
48,Male,81.6,1.56,177,125,73,1.14,847,Cardio,16.2,3.66,2,1,33.55
27,Male,54.0,1.63,190,102,55,0.62,353,Strength,25.9,2.18,2,1,20.2
36,Female,59.2,1.65,171,120,67,1.2,735,Strength,28.1,3.04,4,1,21.74
49,Female,77.0,1.6,175,142,74,1.72,1605,HIIT,24.1,3.57,2,1,30.23
18,Female,46.3,1.61,181,134,74,0.96,708,Cardio,24.4,2.5,5,2,17.83
22,Male,80.2,1.82,188,126,70,1.01,748,Cardio,10.7,3.74,4,2,24.27
21,Female,55.5,1.69,198,116,59,1.14,818,Cardio,26.1,3.4,6,2,19.45
33,Female,63.4,1.56,178,144,77,1.26,1153,HIIT,27.7,3.2,3,1,26.23
41,Male,69.4,1.77,170,119,60,0.94,772,Cardio,19.6,3.41,3,2,22.25
33,Male,60.5,1.83,195,134,75,1.02,764,Cardio,23.9,2.98,3,1,18.09
19,Female,70.4,1.62,184,105,60,1.07,608,Cardio,25.6,3.71,3,2,26.76
45,Male,77.3,1.7,169,96,66,0.99,395,Yoga,12.1,3.05,3,1,26.66
49,Female,73.6,1.55,185,110,57,1.57,1073,Cardio,27.2,3.98,4,3,30.58
44,Male,89.1,1.69,171,120,68,1.49,933,Strength,17.1,4.27,3,2,31.08
37,Male,95.2,1.78,191,134,66,0.78,785,Cardio,7.5,4.81,3,2,30.12
41,Male,79.9,1.81,181,115,74,1.26,637,Strength,21.0,3.15,3,1,24.34
29,Male,95.8,1.82,193,113,71,2.25,880,Yoga,21.4,5.0,3,1,29.0
52,Female,51.3,1.56,175,105,62,1.69,758,Strength,25.7,3.84,2,1,21.09
50,Male,90.7,1.83,181,141,65,1.23,1401,HIIT,13.5,4.78,4,3,26.97
50,Female,71.4,1.55,169,132,52,1.5,1547,HIIT,19.5,4.19,5,3,29.74
54,Female,68.3,1.59,169,100,66,1.14,526,Strength,29.6,3.17,2,1,26.84
29,Female,71.2,1.67,173,127,65,1.46,1178,HIIT,25.7,4.06,5,2,25.41
20,Male,64.5,1.82,196,80,64,1.15,338,Yoga,12.5,3.21,3,2,19.58
18,Female,48.2,1.64,194,108,57,1.21,821,HIIT,33.1,3.16,3,2,17.89
50,Female,88.9,1.56,169,114,79,0.89,454,Strength,24.2,3.34,2,1,36.67
57,Male,75.6,1.84,161,134,81,1.53,934,Strength,6.0,3.66,3,1,22.42
27,Male,75.4,1.77,188,136,85,1.26,621,Strength,17.1,4.12,2,1,24.2
46,Female,49.6,1.78,187,141,70,1.56,1361,HIIT,27.7,3.6,5,3,15.69
30,Female,44.3,1.6,184,125,65,1.73,1217,Cardio,24.0,3.83,4,2,17.23
29,Male,76.8,1.76,182,124,65,1.73,1319,Cardio,8.8,3.51,3,2,24.81
48,Female,60.2,1.67,170,109,60,1.82,982,Strength,17.4,3.05,4,3,21.56
19,Female,65.0,1.57,198,133,79,1.72,1142,Cardio,19.6,4.27,2,2,26.25
52,Female,66.2,1.65,169,118,62,2.0,1321,Strength,19.6,4.44,3,3,24.23
40,Female,99.9,1.61,178,130,75,0.96,831,Cardio,23.7,4.16,4,2,38.58
34,Female,60.3,1.65,189,130,78,1.05,581,Strength,30.0,3.5,2,1,22.22
43,Male,100.1,1.86,182,110,64,1.7,1240,HIIT,,4.87,6,3,29.06
25,Male,101.0,1.77,186,97,58,0.99,562,Strength,17.9,4.19,4,2,32.29
46,Male,88.6,1.82,173,113,70,1.02,491,Yoga,28.4,4.1,2,1,26.64
43,Female,61.7,1.63,187,122,72,1.22,709,Cardio,31.8,3.79,2,1,23.16
27,Female,45.9,1.75,180,123,79,1.07,582,Cardio,31.4,3.02,4,1,14.98
43,Male,84.7,1.79,177,137,67,1.32,1235,HIIT,7.9,3.85,3,2,26.55
51,Female,79.3,1.71,165,121,56,1.05,1042,HIIT,18.7,3.87,5,3,27.21
58,Female,89.5,1.63,178,114,69,1.44,801,Strength,14.5,5.0,4,3,33.56
24,Female,51.7,1.66,185,139,62,1.5,1419,HIIT,18.7,3.09,4,3,18.82
21,Male,74.6,1.79,185,132,56,1.72,1734,HIIT,23.5,3.85,4,1,23.16
28,Female,51.8,1.64,190,136,73,1.06,982,HIIT,25.5,2.47,2,1,19.33
46,Male,69.1,1.55,168,128,74,0.92,719,Strength,24.9,3.61,3,1,28.63
53,Male,87.3,1.87,177,95,58,1.7,768,Cardio,18.0,4.05,4,3,24.84
42,Male,68.5,1.74,177,114,70,0.25,203,Yoga,19.8,2.46,3,1,22.75
38,Male,66.5,1.69,174,97,71,1.19,309,Yoga,22.5,3.52,5,2,23.31
53,Male,89.2,1.74,168,112,69,1.12,747,Cardio,23.8,4.55,3,2,29.58
27,Female,71.3,1.63,182,113,62,1.24,845,HIIT,29.8,3.53,2,1,26.91
54,Male,82.9,1.83,170,119,79,1.59,935,Cardio,20.6,4.01,3,1,24.65
26,Female,55.9,1.69,180,130,73,1.99,1236,Strength,25.7,4.39,3,3,19.57
41,Male,96.1,1.69,181,113,60,1.54,1026,Strength,7.5,4.34,6,3,33.61
52,Female,65.2,1.73,167,89,60,0.61,246,Yoga,26.9,2.69,4,1,21.87
52,Female,98.3,1.76,160,127,72,1.12,762,Strength,24.9,4.41,3,2,31.7
53,Male,80.3,1.76,185,119,59,1.31,1107,HIIT,12.7,4.34,3,3,25.89
35,Male,45.3,1.64,184,125,74,1.28,769,Strength,15.6,3.09,2,1,16.91
56,Male,44.7,1.79,184,145,84,1.17,857,HIIT,24.5,3.15,2,1,14.0
49,Female,73.7,1.69,169,126,62,0.91,899,HIIT,28.4,3.0,3,1,25.94
41,Female,83.2,1.72,182,90,62,0.86,324,Yoga,26.3,3.33,5,2,28.23
40,Male,67.0,1.87,185,129,70,0.85,738,HIIT,26.6,3.22,3,1,19.17
49,Female,94.4,1.5,174,138,79,0.83,792,Cardio,26.5,3.92,2,1,41.94
54,Male,101.3,1.74,164,146,92,1.72,1001,Strength,17.6,4.31,3,1,33.31
29,Male,80.9,1.72,184,120,68,1.03,745,Cardio,23.8,3.59,3,2,27.29
30,Female,72.6,1.51,189,96,53,1.47,834,Cardio,15.0,3.78,6,3,31.68
40,Male,90.5,2.0,184,146,61,1.79,2000,HIIT,14.8,3.99,5,3,22.7
42,Female,91.5,1.67,179,113,58,1.52,1096,Cardio,18.8,4.13,5,3,32.65
52,Male,87.5,1.67,179,121,71,0.92,667,Strength,18.5,4.27,3,2,31.48
58,Female,67.6,1.73,176,111,73,1.49,653,Strength,30.4,3.51,2,1,22.71
47,Male,87.4,1.78,173,123,65,1.27,905,Strength,22.6,3.65,3,1,27.45
34,Male,85.5,1.56,174,117,58,0.69,601,Strength,19.6,4.46,6,3,35.05
37,Female,77.9,1.54,183,120,69,1.59,1175,HIIT,26.2,4.1,2,1,32.97
42,Male,56.0,1.78,175,124,70,1.46,996,Cardio,18.5,3.19,3,1,17.58
39,Female,69.4,1.66,181,114,67,1.42,793,Strength,27.6,4.0,3,2,25.28
30,Female,71.4,1.51,193,125,71,1.72,835,Yoga,31.9,4.06,5,1,31.19
36,Female,64.0,1.59,185,125,78,1.45,569,Yoga,21.0,3.42,2,1,25.45
53,Female,76.0,1.57,181,97,61,1.84,869,Strength,24.1,4.1,5,3,31.02
29,Female,91.9,1.64,179,119,60,1.81,1600,HIIT,20.5,4.31,5,3,34.17
58,Female,66.9,1.67,178,104,63,1.41,668,Strength,27.9,4.08,5,1,23.99
36,Female,74.7,1.68,192,113,62,0.82,592,Strength,20.7,3.76,5,3,26.4
29,Female,87.5,1.7,186,137,69,0.71,690,Cardio,21.4,2.82,3,2,30.28
26,Male,80.3,1.63,201,106,57,1.6,865,Strength,11.9,4.83,4,2,30.06
24,Male,65.6,1.68,183,108,69,1.58,606,Yoga,18.7,3.64,3,1,23.15
45,Female,73.6,1.76,174,128,78,0.9,823,Cardio,29.3,4.2,2,1,23.71
31,Male,47.2,1.66,188,123,71,0.91,641,Strength,14.0,3.28,2,2,17.07
48,Male,45.8,1.75,176,126,65,1.54,1317,HIIT,20.4,3.44,4,3,15.01
36,Male,82.7,1.72,178,106,71,0.79,487,Strength,29.3,3.59,4,2,28.04
33,Male,45.2,1.84,187,126,68,1.09,719,Cardio,21.6,4.16,2,1,13.4
22,Female,46.6,1.76,191,102,67,1.03,436,Yoga,27.3,2.94,2,1,15.05
52,Female,59.7,1.71,170,117,71,1.37,637,Cardio,17.9,3.25,5,3,20.43
29,Male,67.9,1.76,187,154,76,1.81,1870,HIIT,21.4,3.71,2,1,21.92
42,Female,62.9,1.64,184,112,63,1.08,776,Cardio,32.4,3.41,6,2,23.42
38,Female,80.6,1.6,177,100,60,1.17,544,Yoga,37.2,3.81,2,1,31.42
53,Male,81.3,1.76,177,112,67,0.69,583,Strength,26.5,3.94,2,1,26.33
40,Female,53.2,1.55,175,147,70,1.63,1538,HIIT,29.2,3.85,2,2,22.13
33,Male,97.0,1.78,179,116,63,1.24,1025,Cardio,19.1,4.49,5,2,30.73
56,Male,58.0,1.96,179,95,73,1.56,380,Yoga,14.3,3.5,2,1,15.09
59,Female,68.1,1.65,174,134,80,0.29,399,Strength,27.0,3.31,2,1,24.98
56,Male,56.4,1.71,161,122,62,1.43,977,Strength,13.4,3.8,4,3,19.33
31,Female,68.5,1.68,182,117,72,1.2,750,Strength,27.0,3.56,2,1,24.26
48,Female,60.5,1.6,179,111,71,1.62,672,Yoga,21.4,3.79,3,2,23.7
22,Male,93.2,1.83,190,123,57,1.23,1238,HIIT,18.3,4.41,5,3,27.77
52,Female,75.1,1.68,178,118,66,1.43,1047,Cardio,26.1,3.94,3,1,26.51
40,Female,56.8,1.58,181,129,67,1.27,968,Cardio,20.7,3.52,4,3,22.61
46,Male,67.1,1.75,176,130,71,1.18,1031,HIIT,15.9,4.11,3,1,21.85
28,Female,60.6,1.74,185,123,68,1.62,1082,Cardio,26.2,3.77,3,2,20.08
35,Female,91.3,1.62,189,138,71,0.82,839,HIIT,35.0,3.57,2,1,34.92
29,Female,87.7,1.65,190,106,69,1.71,702,Yoga,22.4,3.74,3,3,32.37
26,Female,51.4,1.66,189,103,74,1.27,403,Yoga,28.9,3.34,2,1,18.58
27,Male,89.2,1.85,187,145,74,1.03,1063,Cardio,29.2,3.77,3,1,26.04
34,Female,40.8,1.66,180,135,70,1.22,919,Cardio,28.5,3.37,4,3,14.75
55,Female,58.7,1.64,171,120,77,0.56,273,Yoga,27.9,3.64,2,2,21.92
24,Female,52.0,1.58,194,156,80,1.27,1351,HIIT,27.7,2.89,4,2,20.71
30,Female,80.0,1.55,191,134,68,1.03,1011,HIIT,24.5,3.36,4,1,33.33
57,Female,46.9,1.67,168,134,82,1.52,896,Cardio,21.5,3.34,3,2,16.78
59,Male,84.0,1.82,171,110,64,1.34,938,Cardio,20.2,3.66,2,1,25.41
26,Female,65.0,1.64,190,132,83,1.52,996,Cardio,28.3,3.62,2,1,24.1
44,Female,62.5,1.53,181,120,63,1.69,1411,HIIT,20.8,3.55,2,2,26.73
19,Female,88.4,1.56,193,122,71,2.25,1400,Cardio,31.0,4.21,2,1,36.51
22,Female,89.6,1.6,182,120,63,1.63,1166,Cardio,21.1,4.6,5,3,35.02
46,Male,76.0,1.69,170,120,58,1.15,870,Cardio,20.1,3.74,5,3,26.46
54,Male,73.2,1.79,180,123,68,1.59,938,Strength,16.7,4.65,3,2,22.92
55,Male,56.9,1.79,182,114,58,2.01,1456,HIIT,13.8,3.99,3,3,17.83
36,Male,77.9,1.81,173,114,60,1.47,952,Strength,12.3,4.46,4,2,23.77
25,Female,92.3,1.58,187,135,71,0.41,449,Cardio,23.4,3.3,5,1,36.8
18,Female,63.2,1.54,196,123,77,1.49,737,Strength,31.6,3.36,3,2,26.52
39,Female,75.2,1.56,167,127,69,0.93,777,Strength,28.8,4.45,2,1,30.91
34,Male,58.4,1.58,177,139,77,0.69,417,Cardio,21.4,2.84,2,1,23.34
24,Female,58.9,1.6,187,103,58,1.52,891,Cardio,,3.21,5,3,22.96
42,Male,84.5,1.76,175,112,59,0.77,425,Yoga,10.4,3.18,3,2,27.39
21,Male,79.5,1.72,191,115,66,1.81,1077,Cardio,17.9,4.94,6,3,26.83
53,Female,76.5,1.59,182,145,82,1.41,1205,Cardio,19.6,3.77,2,1,30.38
23,Female,56.6,1.57,183,123,68,1.27,776,Strength,22.8,3.55,4,2,23.07
48,Male,53.5,1.8,176,131,76,0.96,920,HIIT,13.8,3.21,2,1,16.47
36,Male,93.7,1.77,180,125,76,1.24,820,Strength,21.3,3.83,5,2,30.0
56,Male,64.9,1.72,173,109,67,0.95,397,Yoga,7.6,3.25,4,2,21.88
44,Male,85.1,1.6,178,104,66,1.27,682,Strength,15.8,4.3,5,2,33.41
27,Female,71.3,1.61,202,110,74,0.25,310,Yoga,21.7,2.59,3,1,27.43
43,Male,54.7,2.0,187,138,75,1.18,945,Cardio,15.2,3.57,2,1,13.68
36,Female,79.7,1.77,173,136,63,1.19,1218,HIIT,24.0,4.38,2,1,25.55
56,Male,70.1,1.6,167,121,69,1.6,943,Cardio,23.6,3.98,3,2,27.21
20,Male,78.8,1.9,185,123,63,1.55,1017,Strength,12.8,4.54,5,3,21.71
30,Male,73.0,1.81,178,141,66,1.49,1610,HIIT,28.1,3.31,2,1,22.29
45,Male,100.7,1.76,169,117,67,1.49,876,Strength,26.7,3.68,4,2,32.33
37,Male,96.8,1.86,180,116,56,1.81,1507,HIIT,25.1,4.62,5,3,28.01
45,Male,52.6,1.68,173,97,58,2.22,973,Strength,16.7,3.65,5,2,18.57
25,Female,96.6,1.6,182,135,67,1.45,1450,HIIT,26.1,4.65,4,2,37.77
58,Male,68.5,1.83,183,145,68,1.51,1473,HIIT,16.4,3.65,5,3,20.54
56,Female,94.4,1.6,168,133,69,1.57,1423,HIIT,25.7,4.39,3,1,36.97
18,Male,74.4,1.66,188,123,65,0.99,952,HIIT,21.6,3.61,2,1,27.12
20,Female,60.2,1.63,194,138,66,1.11,1101,HIIT,22.8,3.42,5,1,22.61
30,Female,61.5,1.62,182,102,66,1.6,650,Yoga,,3.47,4,3,23.31
45,Female,59.4,1.68,171,125,73,1.48,932,Strength,26.1,3.03,5,3,21.06
42,Female,100.3,1.6,177,123,72,1.32,899,Cardio,23.3,4.21,5,2,39.37
50,Male,76.9,1.64,187,111,79,1.46,508,Yoga,14.6,4.49,4,1,28.63
55,Female,60.8,1.69,170,126,65,0.56,597,HIIT,23.2,2.81,3,1,21.38
23,Female,66.1,1.56,183,110,71,1.86,590,Yoga,,3.69,3,1,27.12
49,Female,51.5,1.57,178,139,77,1.32,1087,HIIT,29.8,3.38,2,1,20.92
38,Male,100.4,1.82,179,129,59,1.16,1248,HIIT,9.4,3.73,3,2,30.27
33,Male,57.4,1.81,200,109,59,2.02,1162,Cardio,8.6,4.26,3,3,17.46
38,Female,56.4,1.62,176,128,69,1.49,1095,Cardio,21.0,3.09,5,3,21.42
28,Female,78.1,1.54,196,123,69,1.35,817,Strength,27.4,3.76,4,2,33.02
54,Female,65.6,1.69,180,123,65,1.07,776,Cardio,23.5,4.47,2,1,22.97
